lat,long
21.4378,106.1691
21.4378,106.1694
21.4378,106.1697
21.4378,106.1701
21.4378,106.1704
21.4378,106.1708
21.4378,106.1711
21.4378,106.1714
21.4378,106.1718
21.4378,106.1721
21.4378,106.1725
21.4378,106.1728
21.4378,106.1731
21.4378,106.1735
21.4378,106.1738
21.4378,106.1742
21.4378,106.1745
21.4378,106.1748
21.4378,106.1752
21.4378,106.1755
21.4378,106.1759
21.4378,106.1762
21.4378,106.1765
21.4378,106.1769
21.4378,106.1772
21.4378,106.1776
21.4378,106.1779
21.4378,106.1782
21.4378,106.1786
21.4378,106.1789
21.4378,106.1793
21.4378,106.1796
21.4378,106.1800
21.4378,106.1803
21.4378,106.1806
21.4378,106.1810
21.4378,106.1813
21.4378,106.1817
21.4378,106.1820
21.4378,106.1823
21.4378,106.1827
21.4378,106.1834
21.4378,106.1840
21.4378,106.1844
21.4378,106.1847
21.4378,106.1851
21.4378,106.1854
21.4378,106.1857
21.4378,106.1861
21.4378,106.1864
21.4378,106.1868
21.4378,106.1871
21.4378,106.1874
21.4378,106.1878
21.4378,106.1881
21.4378,106.1885
21.4378,106.1888
21.4378,106.1892
21.4378,106.1895
21.4378,106.1898
21.4378,106.1902
21.4378,106.1905
21.4378,106.1909
21.4378,106.1912
21.4378,106.1915
21.4378,106.1919
21.4378,106.1922
21.4378,106.1926
21.4378,106.1929
21.4378,106.1932
21.4378,106.1936
21.4378,106.1939
21.4378,106.1943
21.4378,106.1946
21.4378,106.1949
21.4378,106.1956
21.4378,106.1960
21.4378,106.1963
21.4378,106.1966
21.4378,106.1970
21.4378,106.1973
21.4378,106.1977
21.4378,106.1980
21.4378,106.1983
21.4378,106.1987
21.4378,106.1990
21.4378,106.1994
21.4378,106.1997
21.4378,106.2001
21.4378,106.2004
21.4378,106.2007
21.4378,106.2011
21.4378,106.2014
21.4378,106.2018
21.4378,106.2021
21.4378,106.2024
21.4378,106.2028
21.4378,106.2031
21.4378,106.2035
21.4378,106.2038
21.4378,106.2041
21.4378,106.2045
21.4378,106.2048
21.4378,106.2052
21.4378,106.2055
21.4378,106.2058
21.4378,106.2062
21.4378,106.2065
21.4378,106.2069
21.4378,106.2072
21.4378,106.2075
21.4378,106.2079
21.4378,106.2082
21.4378,106.2086
21.4378,106.2089
21.4378,106.2093
21.4378,106.2096
21.4378,106.2099
21.4378,106.2103
