lat,lon
21.42988,106.05424
21.42988,106.05458
21.42988,106.05492
21.42988,106.05526
21.42988,106.0556
21.42988,106.05594
21.42988,106.05628
21.42988,106.05662
21.42988,106.05696
21.42988,106.0573
21.42988,106.05764
21.42988,106.05798
21.42988,106.05832
21.42988,106.05867
21.42988,106.05901
21.42988,106.05935
21.42988,106.05969
21.42988,106.06003
21.42988,106.06037
21.42988,106.06071
21.42988,106.06105
21.42988,106.06139
21.42988,106.06173
21.42988,106.06207
21.42988,106.06241
21.42988,106.06275
21.42988,106.06309
21.42988,106.06343
21.42988,106.06378
21.42988,106.06412
21.42988,106.06446
21.42988,106.0648
21.42988,106.06514
21.42988,106.06548
21.42988,106.06582
21.42988,106.06616
21.42988,106.06684
21.42988,106.06718
21.42988,106.06752
21.42988,106.06786
21.42988,106.0682
21.42988,106.06855
21.42988,106.06889
21.42988,106.06923
21.42988,106.06957
21.42988,106.06991
21.42988,106.07025
21.42988,106.07059
21.42988,106.07093
21.42988,106.07127
21.42988,106.07161
21.42988,106.07195
21.42988,106.07229
21.42988,106.07263
21.42988,106.07297
21.42988,106.07332
21.42988,106.07366
21.42988,106.074
21.42988,106.07434
21.42988,106.07468
21.42988,106.07502
21.42988,106.07536
21.42988,106.0757
21.42988,106.07672
21.42988,106.0774
21.42988,106.07774
21.42988,106.07808
21.42988,106.07843
21.42988,106.07877
21.42988,106.07911
21.42988,106.07945
21.42988,106.07979
21.42988,106.08013
21.42988,106.08047
21.42988,106.08081
21.42988,106.08115
21.42988,106.08149
21.42988,106.08183
21.42988,106.08217
21.42988,106.08251
21.42988,106.08285
21.42988,106.0832
21.42988,106.08354
21.42988,106.08388
21.42988,106.08694
21.42988,106.08728
21.42988,106.08762
21.42988,106.08796
21.42988,106.08831
21.42988,106.08865
21.42988,106.08899
21.42988,106.08933
21.42988,106.08967
21.42988,106.09001
21.42988,106.09035
21.42988,106.09069
21.42988,106.09103
21.42988,106.09137
21.42988,106.09171
21.42988,106.09205
21.42988,106.09239
21.42988,106.09273
21.42988,106.09308
21.42988,106.09342
21.42988,106.09376
21.42988,106.0941
21.42988,106.09444
21.42988,106.09478
21.42988,106.09512
21.42988,106.09546
21.42988,106.0958
21.42988,106.09614
21.42988,106.09648
21.42988,106.09682
21.42988,106.0975
21.42988,106.09785
21.42988,106.09819
21.42988,106.09853
21.42988,106.09921
21.42988,106.09955
21.42988,106.09989
21.42988,106.10023
21.42988,106.10057
21.42988,106.10091
21.42988,106.10125
21.42988,106.10159
21.42988,106.10193
21.42988,106.10227
21.42988,106.10261
21.42988,106.10296
21.42988,106.1033
21.42988,106.10364
21.42988,106.10398
21.42988,106.10432
21.42988,106.10466
21.42988,106.105
21.42988,106.10534
21.42988,106.10568
21.42988,106.10602
21.42988,106.10636
21.42988,106.1067
21.42988,106.10704
21.42988,106.10807
21.42988,106.10841
21.42988,106.10875
21.42988,106.10943
21.42988,106.10977
21.42988,106.11011
21.42988,106.11079
21.42988,106.11113
21.42988,106.11147
21.42988,106.11181
21.42988,106.11215
21.42988,106.11249
21.42988,106.11284
21.42988,106.11318
21.42988,106.11352
21.42988,106.11386
21.42988,106.1142
21.42988,106.11454
21.42988,106.11488
21.42988,106.11522
21.42988,106.11556
21.42988,106.1159
21.42988,106.11624
21.42988,106.11658
21.42988,106.11692
21.42988,106.11726
21.42988,106.11761
21.42988,106.11795
21.42988,106.11897
21.42988,106.11931
21.42988,106.11965
21.42988,106.11999
21.42988,106.12033
21.42988,106.12067
21.42988,106.12101
21.42988,106.12169
21.42988,106.12203
21.42988,106.12238
21.42988,106.12272
21.42988,106.12306
21.42988,106.12374
21.42988,106.12408
21.42988,106.12442
21.42988,106.12476
21.42988,106.1251
21.42988,106.12544
21.42988,106.12578
21.42988,106.12612
21.42988,106.12646
21.42988,106.1268
21.42988,106.12714
21.42988,106.12783
21.42988,106.12851
21.42988,106.12885
21.42988,106.12919
21.42988,106.12953
21.42988,106.12987
21.42988,106.13021
21.42988,106.13055
21.42988,106.13089
